epoch	step	loss	l1	ciou	train_iou	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
62	630	0.6529	0.0292	0.2534	0.7518	0.9995	0.2311	0.4627	0.0945	0.0000	0.0000	0.1329	0.0984	295
63	640	0.6179	0.0248	0.2469	0.7579	0.9995	0.2347	0.4527	0.0796	0.0149	0.0000	0.1296	0.1062	299
64	650	0.6320	0.0261	0.2508	0.7536	0.9994	0.2376	0.4627	0.1095	0.0000	0.0000	0.1328	0.1047	304
65	660	0.6708	0.0265	0.2690	0.7365	0.9993	0.2180	0.4577	0.0547	0.0000	0.0000	0.1238	0.0940	308
66	670	0.5897	0.0254	0.2314	0.7729	0.9992	0.2167	0.4179	0.0846	0.0000	0.0000	0.1253	0.0922	313
67	680	0.5710	0.0234	0.2271	0.7763	0.9991	0.2186	0.4129	0.0498	0.0000	0.0000	0.1182	0.1021	317
68	690	0.6178	0.0256	0.2450	0.7593	0.9990	0.2220	0.4279	0.0647	0.0000	0.0000	0.1210	0.1021	322
69	700	0.5732	0.0227	0.2300	0.7737	0.9989	0.2251	0.4279	0.0796	0.0000	0.0000	0.1238	0.1032	327
70	710	0.5849	0.0257	0.2282	0.7750	0.9988	0.2236	0.4279	0.0746	0.0000	0.0000	0.1270	0.0985	331
71	720	0.5898	0.0232	0.2369	0.7669	0.9987	0.2315	0.4428	0.0995	0.0100	0.0000	0.1178	0.1162	336
72	730	0.6041	0.0248	0.2402	0.7636	0.9986	0.2311	0.4328	0.0746	0.0050	0.0000	0.1282	0.1040	340
73	740	0.5800	0.0244	0.2289	0.7759	0.9984	0.2209	0.4080	0.0896	0.0000	0.0000	0.1218	0.1007	345
74	750	0.5857	0.0240	0.2327	0.7717	0.9983	0.2252	0.4279	0.1095	0.0000	0.0000	0.1151	0.1110	349
75	760	0.5824	0.0231	0.2333	0.7714	0.9982	0.2359	0.4527	0.1095	0.0050	0.0000	0.1196	0.1179	354
76	770	0.5519	0.0213	0.2228	0.7819	0.9980	0.2276	0.4378	0.0896	0.0000	0.0000	0.1212	0.1076	358
77	780	0.5522	0.0216	0.2220	0.7820	0.9979	0.2232	0.4030	0.0746	0.0000	0.0000	0.1237	0.1004	363
78	790	0.5198	0.0210	0.2074	0.7956	0.9977	0.2146	0.4328	0.0746	0.0000	0.0000	0.1177	0.0998	367
79	800	0.5669	0.0228	0.2265	0.7777	0.9976	0.2271	0.4328	0.0846	0.0050	0.0000	0.1200	0.1098	372
80	810	0.5279	0.0210	0.2114	0.7919	0.9974	0.2268	0.4229	0.0995	0.0000	0.0000	0.1140	0.1153	376
81	820	0.5358	0.0219	0.2130	0.7904	0.9972	0.2174	0.4378	0.0697	0.0000	0.0000	0.1152	0.1047	381
82	830	0.5284	0.0207	0.2123	0.7907	0.9970	0.2374	0.4378	0.0896	0.0000	0.0000	0.1256	0.1132	386
83	840	0.5041	0.0208	0.2001	0.8025	0.9969	0.2124	0.3831	0.0697	0.0000	0.0000	0.1111	0.1034	390
84	850	0.5031	0.0202	0.2009	0.8021	0.9967	0.2160	0.4179	0.0796	0.0000	0.0000	0.1082	0.1104	395
85	860	0.4933	0.0211	0.1939	0.8082	0.9965	0.2345	0.4577	0.1144	0.0000	0.0000	0.1323	0.1029	399
86	870	0.5842	0.0219	0.2375	0.7670	0.9963	0.2297	0.4378	0.0945	0.0000	0.0000	0.1167	0.1152	404
87	880	0.5255	0.0198	0.2133	0.7902	0.9961	0.2126	0.4229	0.0697	0.0000	0.0000	0.1081	0.1051	408
88	890	0.5063	0.0197	0.2039	0.7989	0.9959	0.2276	0.4328	0.0846	0.0000	0.0000	0.1223	0.1063	413
89	900	0.5278	0.0227	0.2072	0.7967	0.9957	0.2117	0.4179	0.0647	0.0000	0.0000	0.1102	0.1044	417
90	910	0.4966	0.0208	0.1963	0.8060	0.9954	0.2165	0.4179	0.0647	0.0000	0.0000	0.1200	0.0982	422
91	920	0.4647	0.0188	0.1854	0.8166	0.9952	0.2441	0.4627	0.0846	0.0050	0.0000	0.1321	0.1126	427
92	930	0.4711	0.0205	0.1842	0.8175	0.9950	0.2142	0.4179	0.0697	0.0000	0.0000	0.1131	0.1014	431
93	940	0.4784	0.0186	0.1927	0.8099	0.9947	0.2315	0.4428	0.0995	0.0050	0.0000	0.1195	0.1129	435
94	950	0.5300	0.0216	0.2110	0.7924	0.9945	0.2296	0.4378	0.0846	0.0050	0.0000	0.1211	0.1100	440
95	960	0.4109	0.0157	0.1661	0.8360	0.9943	0.2296	0.4279	0.0896	0.0050	0.0000	0.1170	0.1147	445
96	970	0.4759	0.0186	0.1914	0.8113	0.9940	0.2205	0.4129	0.0647	0.0050	0.0000	0.1086	0.1142	449
97	980	0.4340	0.0165	0.1757	0.8265	0.9937	0.2208	0.4080	0.0846	0.0000	0.0000	0.1159	0.1059	454
98	990	0.4055	0.0158	0.1631	0.8387	0.9935	0.2279	0.4527	0.0746	0.0100	0.0000	0.1277	0.1017	458
99	1000	0.4326	0.0173	0.1730	0.8296	0.9932	0.2170	0.4179	0.0746	0.0000	0.0000	0.1187	0.0999	463
100	1010	0.4178	0.0170	0.1665	0.8357	0.9929	0.2162	0.4179	0.0796	0.0050	0.0000	0.1121	0.1053	467
101	1020	0.4093	0.0159	0.1650	0.8367	0.9927	0.2288	0.4229	0.0995	0.0000	0.0000	0.1167	0.1134	472
102	1030	0.3708	0.0143	0.1498	0.8516	0.9924	0.2234	0.4328	0.0846	0.0000	0.0000	0.1114	0.1128	476
103	1040	0.4502	0.0183	0.1795	0.8227	0.9921	0.2183	0.4378	0.0647	0.0050	0.0000	0.1098	0.1083	481
104	1050	0.4879	0.0182	0.1984	0.8042	0.9918	0.2417	0.4428	0.1144	0.0000	0.0000	0.1249	0.1174	486
105	1060	0.4744	0.0189	0.1898	0.8126	0.9915	0.2253	0.4328	0.0746	0.0050	0.0000	0.1174	0.1098	490
106	1070	0.4254	0.0160	0.1727	0.8295	0.9912	0.2312	0.4527	0.0796	0.0050	0.0000	0.1247	0.1072	495
107	1080	0.4027	0.0155	0.1626	0.8393	0.9909	0.2297	0.4229	0.0945	0.0050	0.0000	0.1205	0.1095	499
108	1090	0.4131	0.0166	0.1650	0.8368	0.9905	0.2355	0.4677	0.0945	0.0050	0.0000	0.1224	0.1138	504
109	1100	0.3774	0.0142	0.1531	0.8485	0.9902	0.2176	0.4229	0.0746	0.0000	0.0000	0.1110	0.1080	508
110	1110	0.3858	0.0158	0.1533	0.8482	0.9899	0.2239	0.4428	0.0995	0.0000	0.0000	0.1173	0.1083	513
111	1120	0.4158	0.0169	0.1657	0.8362	0.9896	0.2276	0.4229	0.0896	0.0000	0.0000	0.1214	0.1078	518
112	1130	0.4093	0.0165	0.1634	0.8381	0.9892	0.2277	0.4279	0.0995	0.0000	0.0000	0.1267	0.1021	522
113	1140	0.4165	0.0166	0.1668	0.8352	0.9889	0.2195	0.4129	0.0746	0.0000	0.0000	0.1240	0.0964	527
114	1150	0.3925	0.0152	0.1583	0.8435	0.9885	0.2203	0.3881	0.0995	0.0050	0.0000	0.1233	0.0975	531
115	1160	0.4038	0.0159	0.1621	0.8396	0.9882	0.2243	0.4030	0.0896	0.0000	0.0000	0.1269	0.0984	536
116	1170	0.4304	0.0165	0.1740	0.8285	0.9878	0.2224	0.3980	0.0896	0.0000	0.0000	0.1314	0.0929	540
117	1180	0.3439	0.0138	0.1376	0.8636	0.9874	0.2164	0.4030	0.0995	0.0050	0.0000	0.1166	0.1021	545
118	1190	0.4489	0.0177	0.1801	0.8220	0.9871	0.2279	0.4229	0.0995	0.0000	0.0000	0.1255	0.1048	549
119	1200	0.4150	0.0163	0.1668	0.8357	0.9867	0.2176	0.3980	0.0647	0.0000	0.0000	0.1168	0.1018	554
120	1210	0.3960	0.0152	0.1600	0.8419	0.9863	0.2315	0.4577	0.0945	0.0000	0.0000	0.1248	0.1074	558
121	1220	0.3607	0.0136	0.1464	0.8550	0.9859	0.2178	0.4080	0.0697	0.0000	0.0000	0.1250	0.0932	563
122	1230	0.3655	0.0140	0.1478	0.8536	0.9855	0.2199	0.4179	0.0796	0.0050	0.0000	0.1210	0.0996	567
123	1240	0.3925	0.0166	0.1548	0.8468	0.9851	0.2178	0.4279	0.0796	0.0100	0.0000	0.1171	0.1015	572
124	1250	0.3701	0.0134	0.1515	0.8504	0.9847	0.2264	0.4627	0.0746	0.0050	0.0000	0.1241	0.1030	576
125	1260	0.3936	0.0143	0.1612	0.8412	0.9843	0.2208	0.4179	0.0896	0.0000	0.0000	0.1191	0.1034	581
126	1270	0.3858	0.0140	0.1578	0.8441	0.9839	0.2211	0.4428	0.0746	0.0000	0.0000	0.1164	0.1075	585
127	1280	0.3540	0.0133	0.1437	0.8577	0.9835	0.2240	0.4328	0.0697	0.0000	0.0000	0.1230	0.1033	590
128	1290	0.3595	0.0133	0.1465	0.8551	0.9831	0.2262	0.4229	0.0896	0.0000	0.0000	0.1260	0.1015	595
129	1300	0.4246	0.0162	0.1719	0.8303	0.9826	0.2149	0.4279	0.0846	0.0000	0.0000	0.1165	0.0998	599
130	1310	0.3739	0.0135	0.1533	0.8484	0.9822	0.2256	0.4378	0.0945	0.0000	0.0000	0.1219	0.1057	604
131	1320	0.3498	0.0136	0.1410	0.8604	0.9818	0.2194	0.4229	0.0846	0.0000	0.0000	0.1171	0.1030	608
132	1330	0.3799	0.0150	0.1523	0.8492	0.9813	0.2220	0.4279	0.0945	0.0050	0.0000	0.1182	0.1050	613
133	1340	0.3327	0.0136	0.1325	0.8685	0.9809	0.2191	0.4378	0.0995	0.0000	0.0000	0.1213	0.0984	617
134	1350	0.3801	0.0152	0.1520	0.8497	0.9804	0.2149	0.4129	0.0995	0.0000	0.0000	0.1184	0.0976	622
135	1360	0.3446	0.0130	0.1398	0.8616	0.9800	0.2097	0.3831	0.0597	0.0000	0.0000	0.1110	0.0997	626
136	1370	0.3400	0.0135	0.1362	0.8649	0.9795	0.2249	0.4328	0.0896	0.0000	0.0000	0.1275	0.0975	631
137	1380	0.3404	0.0131	0.1373	0.8639	0.9790	0.2228	0.4279	0.0846	0.0000	0.0000	0.1218	0.1010	635
138	1390	0.3443	0.0132	0.1392	0.8621	0.9785	0.2068	0.3930	0.0697	0.0000	0.0000	0.1145	0.0929	640
139	1400	0.3529	0.0135	0.1427	0.8586	0.9781	0.2152	0.4030	0.0697	0.0050	0.0000	0.1169	0.0998	644
140	1410	0.3608	0.0143	0.1446	0.8570	0.9776	0.2074	0.3930	0.0746	0.0050	0.0000	0.1098	0.0992	649
141	1420	0.3359	0.0129	0.1358	0.8654	0.9771	0.2197	0.4279	0.0995	0.0000	0.0000	0.1181	0.1039	653
142	1430	0.3626	0.0139	0.1465	0.8551	0.9766	0.2109	0.4129	0.0846	0.0000	0.0000	0.1168	0.0963	658
143	1440	0.3724	0.0141	0.1509	0.8506	0.9761	0.2161	0.4030	0.0697	0.0050	0.0000	0.1158	0.1021	663
144	1450	0.3641	0.0150	0.1446	0.8567	0.9756	0.2161	0.3980	0.0796	0.0050	0.0000	0.1208	0.0972	667
145	1460	0.3382	0.0133	0.1358	0.8655	0.9751	0.2234	0.4229	0.0945	0.0000	0.0000	0.1214	0.1037	672
146	1470	0.3357	0.0136	0.1337	0.8675	0.9745	0.2198	0.4279	0.0995	0.0000	0.0000	0.1282	0.0938	676
147	1480	0.2985	0.0124	0.1182	0.8828	0.9740	0.2143	0.4129	0.0796	0.0000	0.0000	0.1243	0.0907	681
148	1490	0.3057	0.0117	0.1236	0.8773	0.9735	0.2227	0.4527	0.0846	0.0050	0.0000	0.1260	0.0977	685
149	1500	0.3375	0.0129	0.1366	0.8646	0.9730	0.2108	0.4229	0.0796	0.0000	0.0000	0.1163	0.0964	690
150	1510	0.3328	0.0125	0.1352	0.8660	0.9724	0.2193	0.4328	0.0796	0.0000	0.0000	0.1199	0.1014	695
151	1520	0.3161	0.0122	0.1274	0.8736	0.9719	0.2144	0.4229	0.0796	0.0000	0.0000	0.1186	0.0979	699
152	1530	0.3586	0.0132	0.1462	0.8552	0.9713	0.2289	0.4527	0.0995	0.0000	0.0000	0.1189	0.1122	704
153	1540	0.3159	0.0127	0.1261	0.8752	0.9708	0.2303	0.4378	0.0846	0.0000	0.0000	0.1278	0.1044	708
154	1550	0.3371	0.0124	0.1375	0.8639	0.9702	0.2234	0.4279	0.0896	0.0000	0.0000	0.1235	0.1018	713
155	1560	0.3339	0.0126	0.1356	0.8659	0.9697	0.2167	0.4030	0.0746	0.0000	0.0000	0.1223	0.0947	717
156	1570	0.3107	0.0131	0.1225	0.8783	0.9691	0.2288	0.4478	0.1045	0.0000	0.0000	0.1363	0.0929	722
157	1580	0.3768	0.0143	0.1527	0.8487	0.9685	0.2153	0.4080	0.0945	0.0050	0.0000	0.1286	0.0878	727
158	1590	0.3500	0.0130	0.1425	0.8588	0.9679	0.2140	0.4328	0.0647	0.0000	0.0000	0.1199	0.0949	731
159	1600	0.3745	0.0142	0.1517	0.8498	0.9673	0.2224	0.4279	0.0896	0.0000	0.0000	0.1288	0.0940	736
160	1610	0.3328	0.0127	0.1347	0.8668	0.9668	0.2205	0.4179	0.0796	0.0000	0.0000	0.1225	0.0981	741
161	1620	0.2884	0.0112	0.1162	0.8846	0.9662	0.2086	0.3781	0.0746	0.0050	0.0000	0.1164	0.0936	745
162	1630	0.3211	0.0119	0.1308	0.8703	0.9656	0.2219	0.4279	0.0896	0.0000	0.0000	0.1304	0.0923	750
163	1640	0.2797	0.0108	0.1129	0.8879	0.9649	0.2207	0.4179	0.0945	0.0050	0.0000	0.1253	0.0965	754
164	1650	0.2706	0.0105	0.1090	0.8918	0.9643	0.2150	0.4129	0.0746	0.0050	0.0000	0.1217	0.0938	759
165	1660	0.2977	0.0112	0.1208	0.8801	0.9637	0.2144	0.4080	0.0796	0.0000	0.0000	0.1219	0.0930	763
166	1670	0.2680	0.0105	0.1078	0.8929	0.9631	0.2195	0.4229	0.0796	0.0000	0.0000	0.1214	0.0990	768
167	1680	0.3113	0.0124	0.1248	0.8762	0.9625	0.2183	0.4129	0.0697	0.0000	0.0000	0.1306	0.0884	772
168	1690	0.2857	0.0113	0.1145	0.8863	0.9618	0.2241	0.4428	0.0945	0.0000	0.0000	0.1225	0.1024	777
169	1700	0.3151	0.0120	0.1277	0.8734	0.9612	0.2188	0.4229	0.0796	0.0050	0.0000	0.1214	0.0982	781
170	1710	0.2732	0.0107	0.1099	0.8911	0.9606	0.2203	0.4030	0.0945	0.0000	0.0000	0.1138	0.1072	786
171	1720	0.3129	0.0116	0.1275	0.8736	0.9599	0.2194	0.4080	0.0846	0.0000	0.0000	0.1187	0.1007	791
172	1730	0.3128	0.0120	0.1264	0.8745	0.9593	0.2186	0.4229	0.0746	0.0000	0.0000	0.1154	0.1050	795
173	1740	0.2983	0.0118	0.1197	0.8813	0.9586	0.2129	0.4129	0.0697	0.0000	0.0000	0.1116	0.1032	800
174	1750	0.3067	0.0120	0.1233	0.8776	0.9580	0.2232	0.4129	0.1045	0.0050	0.0000	0.1131	0.1121	804
175	1760	0.3022	0.0111	0.1233	0.8777	0.9573	0.2118	0.3980	0.0697	0.0000	0.0000	0.1074	0.1065	809
176	1770	0.3337	0.0133	0.1335	0.8676	0.9566	0.2298	0.4328	0.0995	0.0050	0.0000	0.1267	0.1047	814
177	1780	0.3193	0.0119	0.1298	0.8716	0.9559	0.2254	0.4627	0.0945	0.0000	0.0000	0.1207	0.1061	818
178	1790	0.3004	0.0120	0.1203	0.8807	0.9553	0.2234	0.4527	0.0846	0.0000	0.0000	0.1192	0.1062	823
179	1800	0.3011	0.0122	0.1202	0.8807	0.9546	0.2184	0.4279	0.0796	0.0050	0.0000	0.1158	0.1041	827
180	1810	0.2928	0.0110	0.1190	0.8819	0.9539	0.2174	0.4279	0.0896	0.0000	0.0000	0.1199	0.0996	832
181	1820	0.3003	0.0119	0.1204	0.8806	0.9532	0.2168	0.4328	0.0846	0.0000	0.0000	0.1168	0.1022	836
182	1830	0.2561	0.0095	0.1042	0.8966	0.9525	0.2189	0.4129	0.0846	0.0000	0.0000	0.1233	0.0976	841
183	1840	0.3456	0.0126	0.1413	0.8600	0.9518	0.2144	0.3781	0.0896	0.0000	0.0000	0.1175	0.0980	845
184	1850	0.2816	0.0105	0.1146	0.8863	0.9511	0.2128	0.4030	0.0896	0.0000	0.0000	0.1168	0.0971	850
185	1860	0.3033	0.0109	0.1243	0.8768	0.9504	0.2161	0.3930	0.0896	0.0000	0.0000	0.1214	0.0960	855
186	1870	0.2930	0.0111	0.1188	0.8822	0.9496	0.2207	0.4030	0.0796	0.0000	0.0000	0.1314	0.0900	859
187	1880	0.2783	0.0112	0.1111	0.8896	0.9489	0.2233	0.4279	0.1095	0.0000	0.0000	0.1278	0.0959	864
188	1890	0.2753	0.0105	0.1114	0.8895	0.9482	0.2123	0.4030	0.0896	0.0000	0.0000	0.1200	0.0931	868
189	1900	0.2510	0.0095	0.1018	0.8988	0.9474	0.2141	0.3930	0.0697	0.0050	0.0000	0.1189	0.0965	873
190	1910	0.2588	0.0095	0.1056	0.8951	0.9467	0.2147	0.3980	0.0796	0.0000	0.0000	0.1226	0.0932	877
191	1920	0.3024	0.0112	0.1232	0.8786	0.9460	0.2084	0.3980	0.0697	0.0050	0.0000	0.1136	0.0965	882
192	1930	0.2962	0.0106	0.1216	0.8795	0.9452	0.2121	0.4129	0.0846	0.0000	0.0000	0.1201	0.0941	886
193	1940	0.2861	0.0107	0.1164	0.8846	0.9444	0.2154	0.4080	0.0796	0.0050	0.0000	0.1181	0.0994	891
194	1950	0.2514	0.0093	0.1025	0.8983	0.9437	0.2189	0.4229	0.0896	0.0000	0.0000	0.1214	0.0997	895
195	1960	0.2645	0.0100	0.1073	0.8934	0.9429	0.2117	0.3930	0.0746	0.0000	0.0000	0.1147	0.0981	900
196	1970	0.3098	0.0109	0.1277	0.8737	0.9422	0.2110	0.3980	0.0746	0.0000	0.0000	0.1169	0.0948	905
197	1980	0.2829	0.0105	0.1151	0.8859	0.9414	0.2209	0.4229	0.0945	0.0000	0.0000	0.1269	0.0946	909
198	1990	0.2840	0.0104	0.1161	0.8849	0.9406	0.2217	0.4030	0.0846	0.0050	0.0000	0.1260	0.0973	914
199	2000	0.2643	0.0096	0.1080	0.8928	0.9398	0.2179	0.4179	0.0796	0.0000	0.0000	0.1205	0.0987	919
200	2010	0.2219	0.0088	0.0889	0.9116	0.9390	0.2138	0.4229	0.0647	0.0000	0.0000	0.1183	0.0975	923
201	2020	0.3184	0.0116	0.1303	0.8708	0.9382	0.2202	0.4328	0.0697	0.0000	0.0000	0.1279	0.0940	928
202	2030	0.2590	0.0107	0.1027	0.8979	0.9374	0.2146	0.4279	0.0796	0.0000	0.0000	0.1210	0.0949	932
203	2040	0.2707	0.0104	0.1094	0.8913	0.9366	0.2083	0.3881	0.0896	0.0000	0.0000	0.1219	0.0877	937
204	2050	0.2514	0.0093	0.1023	0.8984	0.9358	0.2162	0.4030	0.0697	0.0050	0.0000	0.1215	0.0968	942
205	2060	0.2434	0.0088	0.0997	0.9012	0.9350	0.2125	0.4279	0.0647	0.0000	0.0000	0.1226	0.0917	946
206	2070	0.2627	0.0099	0.1066	0.8942	0.9342	0.2216	0.4129	0.0896	0.0000	0.0000	0.1210	0.1035	951
207	2080	0.2375	0.0086	0.0972	0.9035	0.9334	0.2171	0.4179	0.0746	0.0000	0.0000	0.1256	0.0935	956
